freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,M,SI	: 	: 	1.7 u	1.7 u	1.9 bu	1.7 u	: u	1.0 u	0.9 u	2.1 u	1.3 u	1.9 bu	1.5 u	1.6 u	1.8 u	1.9 u	2.6 	3.2 b	3.1 	3.4 	3.1 b	3.3 	4.0 	3.0 	1.9 	1.6 u	2.2 	2.3 b	2.0 u	1.5 bu	0.9 u
A,RT_UNE,HRSTU,M,SK	: 	: 	: 	: 	1.2 bu	2.0 b	3.1 	3.1 b	1.8 	2.0 b	3.3 	2.7 b	1.5 	1.7 	1.7 	2.3 	3.8 	3.2 b	3.9 	4.2 	3.5 b	3.4 	3.3 	2.2 	1.7 	1.5 	2.3 	1.8 bu	1.5 u	1.1 u	: u
A,RT_UNE,HRSTU,M,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	4.8 	5.4 	6.7 	5.7 	5.5 b	5.2 b	5.5 	6.2 b	6.2 	7.3 	7.2 	7.5 	8.7 	8.7 	8.1 b	7.3 	5.8 	5.4 
A,RT_UNE,HRSTU,M,UK	3.8 	3.6 	3.6 	2.7 	: 	1.9 b	1.6 	1.5 b	1.8 	1.8 	2.0 b	2.1 b	2.1 	2.0 b	2.2 b	3.5 	3.5 b	3.3 b	3.2 	3.1 	2.4 b	2.2 	2.1 	2.0 	2.0 	2.0 	: 	: 	: 	: 	: 
A,RT_UNE,HRSTU,T,AT	: 	0.8 u	1.0 	1.0 	0.8 bu	1.1 	1.2 	1.0 	1.0 	1.3 	1.6 b	1.5 b	1.4 b	1.4 b	0.9 	1.4 	1.3 	1.3 b	1.2 	1.8 	2.7 b	2.7 	2.5 	2.2 	2.3 	2.1 	2.4 	2.9 b	2.3 	2.4 	2.6 
A,RT_UNE,HRSTU,T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.7 b	7.7 	6.6 	5.7 
A,RT_UNE,HRSTU,T,BE	3.7 	3.1 	3.4 	3.1 	3.1 b	2.9 b	2.1 	2.5 b	2.8 	3.1 	3.0 	3.5 b	3.6 	3.0 	2.9 b	3.6 	3.7 	3.1 b	3.2 	4.1 	3.9 b	3.9 	3.6 	3.7 b	3.0 	2.7 	3.0 	3.1 b	2.7 	2.6 	2.7 
A,RT_UNE,HRSTU,T,BG	: 	: 	: 	: 	: 	: 	5.0 	6.9 b	6.5 	5.4 b	4.7 	3.5 b	3.3 b	2.0 	1.9 b	2.4 	3.8 b	4.3 b	4.9 	5.5 	4.4 b	3.4 	2.9 	2.6 	2.0 	1.6 b	2.1 	1.7 b	1.4 	1.6 	1.4 b
A,RT_UNE,HRSTU,T,CH	: 	: 	1.4 	2.3 	1.6 b	1.0 	0.7 	0.8 	1.2 	1.7 	1.6 	1.7 b	1.5 	1.4 	1.2 	1.8 	2.0 b	2.0 b	2.1 	2.4 	2.5 b	2.6 	2.4 	2.8 	2.6 	2.4 	2.7 	2.6 b	2.3 	2.4 	2.7 
A,RT_UNE,HRSTU,T,CY	: 	: 	: 	: 	: 	: 	2.4 	2.3 	2.0 	3.1 	2.6 	3.7 b	3.7 	2.9 	2.6 	4.0 b	5.0 	6.3 b	9.0 	11.8 	11.7 b	10.9 	9.9 	8.8 	6.9 	5.6 	6.2 	5.6 b	5.0 	4.9 	3.7 
A,RT_UNE,HRSTU,T,CZ	: 	: 	: 	: 	0.7 b	1.2 	1.2 	1.0 	0.7 	0.9 b	0.9 	1.0 b	1.0 	0.7 	0.7 	1.1 	1.3 b	1.5 b	1.6 	1.6 	1.7 b	1.5 	1.2 	0.9 	0.7 	0.6 	0.9 	0.9 b	0.6 	0.9 	0.9 
A,RT_UNE,HRSTU,T,DE	2.6 	2.8 	2.9 b	3.2 	: 	2.8 	2.3 	2.3 	2.3 	2.7 	3.0 	3.3 b	2.8 b	2.3 	2.0 	2.1 	1.8 b	1.5 b	1.5 b	1.5 	1.5 b	1.4 	1.3 	1.2 	1.1 	1.1 	1.6 b	1.5 b	1.3 	1.4 	1.7 
A,RT_UNE,HRSTU,T,DK	3.5 	3.8 	2.9 	2.4 	2.3 b	2.0 	1.6 	2.4 	2.5 	3.4 b	2.9 	2.7 b	2.4 	1.9 b	1.5 b	2.4 	3.1 	3.3 b	3.2 	3.1 	3.2 b	3.2 	3.2 b	3.1 b	2.9 	2.9 	3.4 	3.0 b	2.6 	2.9 b	3.6 
A,RT_UNE,HRSTU,T,EA21	: 	: 	: 	: 	: 	: 	: 	: 	3.4 	3.5 	3.7 	3.7 b	3.3 	2.9 	2.9 	3.7 	4.1 	4.2 b	4.8 	5.3 	5.2 b	4.9 	4.4 	3.9 	3.6 	3.5 	3.9 	3.8 b	3.2 	3.2 	3.2 
A,RT_UNE,HRSTU,T,EE	: 	: 	: 	6.4 	3.9 b	4.6 	4.0 b	6.5 	4.0 u	4.0 	5.0 	3.3 b	2.6 	1.9 	2.3 	5.1 	7.7 	6.4 b	4.9 	4.6 	3.9 b	3.2 	3.2 	2.6 	2.8 	2.2 	3.7 	2.7 b	2.9 	2.9 	3.8 
A,RT_UNE,HRSTU,T,EL	5.0 	5.4 	5.5 	5.4 	6.0 b	7.2 	6.6 	6.3 b	5.9 	5.6 	6.6 b	6.6 b	6.1 	6.0 	5.4 	6.4 b	8.6 	12.4 b	16.1 	18.3 	18.0 b	18.0 	16.2 	14.8 	12.9 	11.0 	10.9 	10.0 b	8.0 	7.3 	6.5 
A,RT_UNE,HRSTU,T,ES	15.4 b	15.0 	14.4 	13.6 	12.8 b	10.8 	9.3 	6.7 b	7.5 	7.1 	7.1 	5.8 b	5.2 b	4.5 	5.5 	8.5 	9.9 	11.1 b	13.4 	14.6 	13.4 b	12.0 	10.6 	9.0 	8.1 	7.8 	9.4 	8.5 bd	7.1 d	6.7 d	6.3 d
A,RT_UNE,HRSTU,T,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	3.2 	3.4 	3.6 	3.6 b	3.2 	2.8 	2.7 	3.6 	3.9 	4.1 b	4.6 	5.0 	4.8 b	4.5 	4.0 	3.6 	3.3 	3.1 	3.5 	3.4 b	2.9 	2.9 	2.9 
A,RT_UNE,HRSTU,T,FI	: 	7.3 	6.8 	3.7 	4.5 b	3.5 	3.8 b	3.1 	3.1 	3.2 	3.8 	3.4 b	2.8 	2.8 b	2.5 b	3.2 	3.5 	3.1 b	3.1 	3.5 	4.1 b	4.8 	4.7 	4.2 	3.4 	3.2 	3.5 	3.6 b	3.1 	3.1 	3.6 
A,RT_UNE,HRSTU,T,FR	4.6 	4.9 	4.7 	4.9 	5.1 b	4.8 	4.0 	3.5 	4.0 	4.1 b	4.5 	4.3 b	4.1 b	3.8 	3.1 	3.9 	3.9 	3.7 b	3.9 	4.4 b	4.8 b	4.8 	4.4 	4.0 	4.3 	4.0 	4.2 	4.3 bd	3.9 d	4.1 d	4.1 d
A,RT_UNE,HRSTU,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	6.5 	5.3 b	5.6 	4.3 bu	4.1 bu	4.4 	3.4 	4.2 	6.0 b	6.6 b	7.6 b	7.9 	7.1 b	6.9 	5.7 	5.4 	4.5 	3.8 	3.9 	3.6 b	3.9 	2.8 	2.6 
A,RT_UNE,HRSTU,T,HU	: 	: 	: 	0.9 	1.2 b	0.7 	0.8 	0.7 b	1.0 	0.8 	1.4 	1.8 b	1.7 	1.9 	1.8 	2.7 	3.2 	3.0 b	3.2 	2.8 	2.3 b	1.8 	1.3 	1.2 	1.1 b	1.1 	1.3 	1.3 b	1.1 	1.2 	1.4 
A,RT_UNE,HRSTU,T,IE	5.2 	4.1 	4.1 	3.5 	: 	1.6 	1.3 	1.2 	1.7 	2.1 	1.9 	2.0 b	2.1 	2.2 b	3.1 	6.1 	6.9 	6.8 b	6.7 	6.3 	5.8 b	4.8 	4.2 	3.4 b	3.2 	2.7 	3.5 	3.6 b	2.7 	2.5 	2.7 
A,RT_UNE,HRSTU,T,IS	: 	: 	: 	: 	: 	: u	: u	: u	: u	: bu	: u	0.8 b	: u	: u	1.0 	2.6 	2.4 	3.0 b	2.0 	2.4 	2.5 b	1.9 	1.2 	1.2 	1.4 	1.8 	2.9 b	3.1 b	1.9 	1.7 	1.7 
A,RT_UNE,HRSTU,T,IT	2.4 	3.0 	2.8 	3.0 	3.0 b	3.1 	2.5 	2.4 	2.4 	2.5 	2.2 b	2.8 b	2.4 	2.0 	2.2 	2.8 	3.0 	2.8 b	3.6 	4.1 	4.5 b	4.2 	4.0 	3.9 	3.6 b	3.5 	3.3 	3.3 b	2.6 	2.5 	2.2 
A,RT_UNE,HRSTU,T,LT	: 	: 	: 	: 	7.9 b	8.3 	8.9 b	5.8 	5.0 b	5.0 	5.2 	3.2 bu	2.2 u	1.7 u	2.4 u	5.0 	6.5 	5.3 b	4.8 	4.4 	3.7 b	3.2 	2.6 	2.6 	2.5 	2.6 	3.7 	3.7 b	3.2 	3.4 	3.7 
A,RT_UNE,HRSTU,T,LU	1.9 u	: u	: u	: u	: 	: u	: u	0.8 u	1.0 u	2.0 b	2.5 	2.5 b	2.0 	2.3 b	1.7 	2.9 b	2.4 	2.6 b	2.6 	2.8 	3.0 b	3.3 b	2.6 	2.1 	3.1 	2.7 	3.5 	3.1 b	2.9 	3.2 	4.0 
A,RT_UNE,HRSTU,T,LV	: 	: 	: 	: 	4.5 b	4.1 	4.7 	: u	4.2 b	4.4 u	3.0 u	3.4 b	2.7 	2.4 	2.7 	5.6 	8.1 	5.6 b	5.1 	4.9 	4.5 b	3.9 	3.5 	3.2 	3.0 	3.0 	4.2 	3.9 b	3.5 	2.8 	3.4 
A,RT_UNE,HRSTU,T,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.4 b	8.1 	7.5 	7.6 b	8.1 	9.6 	8.9 	8.2 	9.0 	10.7 	: 	: 	: 	: 
A,RT_UNE,HRSTU,T,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	15.8 	15.7 	16.4 	16.8 	17.8 	18.5 b	18.1 	18.8 	18.2 b	17.4 	16.3 	15.6 	14.4 	11.5 	11.2 	8.2 b	7.6 	6.3 	5.9 
A,RT_UNE,HRSTU,T,MT	: 	: 	: 	: 	: 	: 	: u	: u	: u	: u	: bu	1.5 bu	1.4 u	1.3 u	0.7 u	1.5 	1.1 u	1.1 bu	1.4 	1.6 	1.8 b	1.3 	1.1 	1.3 	1.6 	2.2 	2.5 	1.3 b	2.1 	1.9 	1.7 
A,RT_UNE,HRSTU,T,NL	: 	: 	2.6 	2.2 	1.2 b	1.0 	1.0 	0.9 	1.0 	1.5 	1.8 	2.3 b	1.9 b	1.6 	1.4 	1.9 	2.1 	2.1 b	2.3 	2.8 b	2.8 b	2.7 	2.4 	2.0 	1.7 	1.6 b	1.9 	2.1 b	1.9 	2.0 	2.0 
A,RT_UNE,HRSTU,T,NO	: 	: 	2.5 	2.3 	1.9 b	1.6 	1.8 	1.8 	1.9 	2.2 b	2.4 	1.9 b	1.5 b	1.2 	1.0 	1.2 	1.4 	1.2 b	1.3 	1.4 	1.7 b	2.0 	2.4 	1.9 	1.8 	1.8 	2.3 	2.1 b	1.5 	1.8 	2.3 
A,RT_UNE,HRSTU,T,PL	: 	: 	: 	2.1 	1.1 b	1.6 	2.9 b	3.1 b	3.8 	4.4 b	4.7 b	4.9 b	4.1 	3.2 	2.7 	3.2 	3.8 b	4.0 b	4.4 	4.5 	3.7 b	3.2 	2.6 	1.9 	1.6 	1.6 b	1.6 	1.4 b	1.1 	1.1 	1.1 
A,RT_UNE,HRSTU,T,PT	1.7 	2.5 	2.8 	1.9 	1.6 b	2.0 	1.6 	1.6 	2.4 	3.5 	3.0 b	4.2 b	4.3 	5.2 	4.8 	4.6 	5.1 	6.5 b	8.6 	9.2 	7.4 b	6.8 	6.2 	4.7 	4.0 	4.0 	4.5 	4.2 b	3.5 	3.6 	3.7 
A,RT_UNE,HRSTU,T,RO	: 	: 	: 	1.6 	1.4 b	1.4 	2.0 	2.2 	2.3 b	1.9 b	1.9 	2.4 b	2.4 	1.9 	1.8 	3.0 	3.4 b	3.4 b	3.8 	4.2 	4.5 b	3.2 	2.4 	1.9 	1.6 	1.2 	1.7 	1.6 b	1.3 	1.2 	1.5 
A,RT_UNE,HRSTU,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.9 	15.9 b	17.0 	13.6 	11.4 b	11.8 	10.9 	9.5 	8.5 	6.6 	6.2 	6.7 b	4.8 	5.3 	5.1 
A,RT_UNE,HRSTU,T,SE	: 	3.9 	4.2 	3.0 	3.1 b	2.7 	2.0 	1.3 b	1.6 	2.1 	2.5 	2.8 b	2.9 b	2.4 	2.4 	3.1 	3.3 	3.0 b	3.1 	3.1 	3.2 b	3.1 	3.0 	3.0 	2.7 b	2.8 	3.5 	3.3 b	2.6 	3.0 	3.7 
A,RT_UNE,HRSTU,T,SI	: 	: 	1.5 u	1.8 u	1.6 bu	1.8 u	1.3 u	1.1 u	1.2 u	2.2 u	1.6 u	1.9 b	2.0 	2.1 	2.2 	2.1 	2.9 	3.4 b	4.3 	4.5 	4.7 b	4.4 	4.7 	4.0 	2.8 	2.3 	2.5 	2.7 b	2.1 	1.7 b	1.6 
A,RT_UNE,HRSTU,T,SK	: 	: 	: 	: 	1.3 b	1.6 b	2.1 	2.1 b	1.7 	1.9 b	2.8 	2.5 b	1.7 	2.0 	1.8 	2.3 	3.3 	3.5 b	4.3 	4.8 	4.3 b	4.1 	3.9 	2.9 	2.2 	1.8 	2.5 	2.1 b	1.7 	1.5 	1.4 
A,RT_UNE,HRSTU,T,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	5.9 	6.4 	7.1 	8.7 	8.0 	7.7 b	7.5 b	7.9 	9.0 b	9.3 	10.3 	10.9 	10.7 	12.0 	11.4 	11.2 b	10.2 	8.8 	8.2 
A,RT_UNE,HRSTU,T,UK	3.3 	3.2 	3.0 	2.5 	: 	1.8 b	1.5 	1.4 b	1.7 	1.6 	1.8 b	2.0 b	2.1 	2.0 b	2.2 b	3.2 	3.3 b	3.2 b	3.3 	3.0 	2.4 b	2.3 	2.3 	2.2 	2.0 	2.0 	: 	: 	: 	: 	: 
A,RT_UNE,NON_HRSTU,F,AT	: 	6.1 	6.7 	6.7 	7.3 b	6.3 	6.0 	5.4 	6.1 	5.7 	8.5 b	8.3 b	7.8 b	7.3 b	6.1 	7.0 	6.4 	6.3 b	6.9 	7.5 	7.7 b	7.8 	8.5 	7.8 	7.0 	6.4 	8.0 	9.7 b	7.1 	7.5 	7.3 
A,RT_UNE,NON_HRSTU,F,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	27.8 b	25.4 	21.8 	22.2 
A,RT_UNE,NON_HRSTU,F,BE	17.8 	17.8 	18.2 	17.1 	17.5 b	15.0 b	12.7 	10.1 b	11.9 	12.2 	12.7 	15.0 b	14.3 	13.5 	11.9 b	12.4 	13.5 	11.3 b	11.9 	12.2 	12.4 b	12.4 	12.0 	11.0 b	9.1 	8.0 	9.1 	10.4 b	9.6 	9.1 	9.4 
A,RT_UNE,NON_HRSTU,F,BG	: 	: 	: 	: 	: 	: 	21.4 	25.5 b	23.0 	17.2 b	15.2 	13.4 b	12.4 b	10.1 	7.8 b	9.0 	13.1 b	13.8 b	14.6 	16.1 	14.9 b	12.3 	10.2 	8.6 	6.8 	5.4 b	6.8 	7.7 b	6.2 	6.3 	6.4 b
A,RT_UNE,NON_HRSTU,F,CH	: 	: 	5.9 	4.9 	5.3 b	4.9 	4.6 	5.0 	4.5 	6.6 	7.1 	7.5 b	7.2 	7.0 	6.4 	7.0 	8.0 b	6.8 b	6.9 	7.2 	7.5 b	7.3 	7.7 	7.1 	7.6 	7.0 	7.5 	8.2 b	6.7 	6.2 	6.5 
A,RT_UNE,NON_HRSTU,F,CY	: 	: 	: 	: 	: 	: 	9.6 	7.1 	5.2 	5.0 	6.8 	7.5 b	5.9 	5.3 	5.4 	6.1 b	6.8 	8.4 b	11.6 	17.1 	17.4 b	16.9 	16.4 	12.9 	10.4 	9.1 	9.4 	9.2 b	8.2 	6.9 	6.7 
A,RT_UNE,NON_HRSTU,F,CZ	: 	: 	: 	: 	11.0 b	14.5 	15.3 	14.2 	12.6 	14.3 b	14.6 	15.2 b	13.8 	10.9 	9.2 	12.9 	13.6 b	11.6 b	12.2 	12.3 	11.0 b	9.0 	6.9 	5.3 	4.2 	3.6 	4.4 	5.4 b	4.5 	4.8 	5.0 
A,RT_UNE,NON_HRSTU,F,DE	14.5 	13.4 	13.8 b	15.2 	: 	13.4 	12.1 	11.4 	12.3 	13.9 	15.3 	16.6 b	15.7 b	13.6 	12.0 	11.6 	10.6 b	8.8 b	8.4 b	8.0 	7.6 b	7.0 	6.3 	5.6 	4.9 	4.6 	5.5 b	5.2 b	4.7 	4.5 	4.9 
A,RT_UNE,NON_HRSTU,F,DK	11.5 	10.9 	11.1 	8.6 	8.6 b	7.8 	7.0 	6.5 	5.6 	7.3 b	7.6 	7.4 b	6.0 	5.7 b	6.1 b	8.5 	9.9 	11.0 b	11.5 	11.7 	10.6 b	9.3 	9.2 b	8.7 b	7.3 	7.5 	8.7 	8.0 b	6.8 	8.3 b	9.9 
A,RT_UNE,NON_HRSTU,F,EA21	: 	: 	: 	: 	: 	: 	: 	: 	14.0 	14.1 	14.5 	14.2 b	13.4 	12.1 	11.8 	13.8 	14.7 	14.7 b	16.3 	17.1 	16.9 b	15.9 	15.1 	14.0 	12.7 	11.9 	12.2 	12.5 b	11.2 	10.7 	10.3 
A,RT_UNE,NON_HRSTU,F,EE	: 	: 	: 	14.0 	12.8 b	14.9 	19.2 b	19.6 	13.4 	15.7 	12.4 	11.2 b	8.8 	6.0 	8.3 	17.1 	23.1 	17.0 b	14.1 	12.3 	10.5 b	9.8 	10.0 	8.9 	8.6 	8.6 	11.1 	10.3 b	8.8 	12.1 	12.5 
A,RT_UNE,NON_HRSTU,F,EL	15.6 	15.6 	17.7 	17.0 	19.4 b	20.9 	19.7 	18.4 b	17.9 	17.3 	18.7 b	18.1 b	16.4 	15.3 	14.0 	16.0 b	19.2 	25.1 b	33.6 	37.3 	36.2 b	33.9 	33.7 	31.7 	29.8 	27.0 	25.2 	24.8 b	22.6 	19.3 	17.6 
A,RT_UNE,NON_HRSTU,F,ES	35.0 b	34.0 	33.6 	32.3 	30.4 b	26.3 	24.1 	18.3 b	19.4 	19.7 	18.8 	15.4 b	14.7 b	14.3 	17.2 	24.3 	27.0 	28.5 b	32.3 	34.5 	33.5 b	31.4 	29.1 	26.3 	23.9 	22.7 	24.4 	24.3 bd	21.9 d	20.3 d	18.7 d
A,RT_UNE,NON_HRSTU,F,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	14.6 	14.9 	14.7 b	13.5 	11.8 	11.2 	13.2 	14.2 	14.2 b	15.5 	16.2 	15.8 b	14.7 	13.7 	12.6 	11.4 	10.6 	11.1 	11.5 b	10.3 	10.0 	9.7 
A,RT_UNE,NON_HRSTU,F,FI	: 	18.7 	17.9 	22.5 	21.2 b	20.1 	19.6 b	18.4 	15.7 	15.4 	16.0 	13.2 b	12.8 	11.2 b	10.6 b	12.1 	12.1 	11.5 b	11.8 	12.4 	12.9 b	13.9 	13.4 	13.7 	12.6 	10.7 	13.3 	12.0 b	11.1 	11.2 	12.9 
A,RT_UNE,NON_HRSTU,F,FR	18.5 	17.8 	18.2 	18.4 	18.0 b	17.9 	16.2 	14.1 	13.1 	12.0 b	13.0 	12.4 b	12.5 b	11.0 	10.5 	12.5 	13.0 	13.4 b	13.9 	14.5 b	14.8 b	14.9 	15.1 	14.6 	14.2 	13.4 	12.6 	12.4 bd	11.7 d	11.8 d	11.9 d
A,RT_UNE,NON_HRSTU,F,HR	: 	: 	: 	: 	: 	: 	: 	: 	21.2 	19.4 b	19.1 	17.5 b	16.0 b	13.8 	13.1 	13.4 	15.0 b	16.6 b	20.0 b	21.7 	24.8 b	23.4 	18.8 	16.2 	12.4 	9.0 	9.9 	11.1 b	10.7 	9.5 	7.4 
A,RT_UNE,NON_HRSTU,F,HU	: 	: 	: 	11.3 	11.7 b	9.4 	8.7 	7.1 b	7.2 	8.0 	8.5 	10.9 b	11.9 	11.3 	12.1 	14.6 	15.8 	16.4 b	15.9 	15.4 	12.1 b	10.9 	8.0 	7.1 	6.1 b	5.4 	7.0 	6.8 b	5.8 	7.1 	7.8 
A,RT_UNE,NON_HRSTU,F,IE	19.0 	16.2 	16.2 	13.8 	: 	7.6 	5.8 	4.9 	5.3 	5.3 	5.3 	5.5 b	5.7 	7.0 b	7.7 	12.5 	16.0 	18.8 b	19.9 	19.4 	17.0 b	14.2 	12.0 	10.1 b	9.1 	7.6 	8.8 	10.6 b	7.7 	6.8 	7.1 
A,RT_UNE,NON_HRSTU,F,IS	: 	: 	: 	: 	: 	3.9 	3.8 	3.4 	4.0 	6.2 b	4.1 	3.4 b	5.3 	3.6 	4.2 	9.6 	11.8 	10.5 b	10.2 	7.7 	6.8 b	6.3 	5.3 	4.9 	4.5 	5.0 	9.0 b	11.3 b	5.9 	6.5 	6.5 
A,RT_UNE,NON_HRSTU,F,IT	19.4 	20.3 	20.9 	21.0 	21.1 b	21.0 	19.7 	17.6 	17.1 	16.3 	14.2 b	13.6 b	12.3 	11.2 	12.1 	12.7 	13.2 	13.1 b	16.2 	17.6 	18.6 b	17.1 	17.4 	17.2 	16.4 b	15.5 	14.5 	15.2 b	13.5 	12.9 	10.9 
A,RT_UNE,NON_HRSTU,F,LT	: 	: 	: 	: 	17.2 b	15.8 	20.0 b	20.5 	17.9 b	19.0 	15.8 	13.1 b	8.7 	6.8 	9.0 	17.3 	23.5 	21.7 b	19.4 	17.4 	15.7 b	14.2 	12.3 	10.1 	9.6 	10.0 	13.7 	11.6 b	9.7 	12.0 	11.8 
A,RT_UNE,NON_HRSTU,F,LU	5.6 	5.5 	6.3 	5.3 	: 	4.8 	4.4 	2.9 u	5.1 	6.1 b	10.1 	8.2 b	9.2 	6.4 b	9.0 	9.2 b	7.7 	10.3 b	10.1 	12.2 	10.8 b	12.1 b	11.6 	8.5 	9.9 	9.5 	12.0 	9.2 b	8.5 	10.7 	11.3 
A,RT_UNE,NON_HRSTU,F,LV	: 	: 	: 	: 	18.5 b	19.2 	18.5 	17.8 	18.0 b	16.3 	17.8 	14.3 b	9.5 	8.3 	11.2 	21.7 	23.2 	21.2 b	22.1 	16.7 	14.7 b	13.3 	13.9 	12.7 	10.6 	8.8 	11.2 	10.4 b	8.5 	8.7 	9.0 
A,RT_UNE,NON_HRSTU,F,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	28.2 b	28.1 	27.2 	26.2 b	23.7 	22.9 	22.8 	20.7 	22.1 	24.8 	: 	: 	: 	: 
A,RT_UNE,NON_HRSTU,F,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	43.9 	42.2 	39.6 	38.3 	37.2 	35.2 b	35.0 	32.4 	32.5 b	28.5 	26.0 	24.0 	22.0 	22.3 	18.6 	18.4 b	16.9 	16.9 	14.2 
A,RT_UNE,NON_HRSTU,F,MT	: 	: 	: 	: 	: 	: 	8.9 u	11.1 	10.9 	13.4 	11.8 b	11.5 b	12.0 	11.5 	10.1 	11.4 	11.0 	10.7 b	10.9 	9.5 	7.4 b	8.2 	8.0 	6.5 	5.6 	6.4 	7.6 	5.6 b	3.9 	4.6 	4.7 
A,RT_UNE,NON_HRSTU,F,NL	: 	: 	11.5 	10.4 	8.8 b	7.6 	5.1 	3.6 	4.2 	5.9 	7.9 	10.3 b	9.4 b	8.1 	6.9 	7.5 	8.6 	8.1 b	9.4 	11.3 b	12.2 b	11.6 	10.5 	8.7 	6.4 	5.4 b	6.5 	7.7 b	6.3 	6.0 	6.3 
