freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,NON_HRSTU,F,NO	: 	: 	6.3 	6.1 	4.9 b	4.0 	4.1 	4.6 	5.3 	5.3 b	5.3 	6.1 b	5.0 b	3.5 	3.5 	3.6 	4.1 	4.6 b	4.2 	5.0 	4.9 b	6.7 	6.4 	6.5 	6.1 	5.8 	7.2 	7.2 b	5.2 	6.0 	6.4 
A,RT_UNE,NON_HRSTU,F,PL	: 	: 	: 	17.6 	16.2 b	18.1 	24.6 b	26.6 b	27.6 	27.1 b	27.2 b	26.7 b	21.3 	14.7 	11.4 	12.6 	14.7 b	15.1 b	15.9 	16.4 	14.6 b	11.9 	9.7 	8.0 	6.5 	5.8 b	5.2 	5.7 b	5.3 	5.4 	5.9 
A,RT_UNE,NON_HRSTU,F,PT	9.4 	9.3 	9.9 	8.9 	6.4 b	5.7 	5.4 	5.6 	5.7 	7.9 	8.3 b	9.7 b	10.0 	10.4 	9.7 	11.9 	14.0 	15.7 b	18.3 	19.2 	17.3 b	15.7 	13.8 	12.2 	9.4 	8.8 	9.1 	9.3 b	8.8 	9.3 	9.3 
A,RT_UNE,NON_HRSTU,F,RO	: 	: 	: 	7.1 	6.5 b	6.6 	7.7 	7.2 	9.3 b	7.7 b	7.5 	7.7 b	7.3 	6.6 	5.7 	7.0 	7.3 b	7.6 b	7.0 	7.2 	6.8 b	7.0 	6.2 	5.2 	4.4 	4.5 	6.1 	7.3 b	7.7 	7.6 	7.3 
A,RT_UNE,NON_HRSTU,F,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	26.9 	26.5 b	27.6 	29.2 	25.3 b	22.8 	19.1 	17.0 	16.4 	13.9 	11.5 	15.7 b	13.8 	13.2 	12.0 
A,RT_UNE,NON_HRSTU,F,SE	: 	9.6 	10.5 	14.0 	11.3 b	9.9 	7.4 	6.1 b	6.6 	7.1 	9.0 	10.5 b	10.8 b	9.9 	10.2 	12.5 	13.6 	12.8 b	12.9 	13.3 	13.3 b	12.9 	12.0 	11.6 	11.9 b	13.6 	16.2 	18.7 b	16.7 	16.0 	16.4 
A,RT_UNE,NON_HRSTU,F,SI	: 	: 	9.0 	8.8 	9.8 b	9.9 	9.6 	8.3 	8.8 	10.1 	9.4 	10.5 b	10.6 	8.3 	6.8 	8.7 	10.4 	12.6 b	13.4 	16.5 	15.1 b	15.0 	12.5 	10.6 	8.3 	7.3 	9.5 	9.3 b	7.7 	6.3 b	6.4 
A,RT_UNE,NON_HRSTU,F,SK	: 	: 	: 	: 	18.0 b	22.9 b	26.9 	27.2 b	27.6 	25.5 b	28.6 	25.4 b	22.3 	18.9 	16.6 	19.6 	22.7 	20.5 b	20.8 	20.0 	18.8 b	17.9 	14.9 	11.7 	10.2 	9.0 	10.8 	11.4 b	10.7 	9.9 	10.2 
A,RT_UNE,NON_HRSTU,F,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.3 	9.0 	9.9 	12.8 	11.2 	9.5 b	8.6 b	10.0 	11.1 b	11.8 	12.9 	12.7 	12.9 	16.1 	14.5 	14.0 b	12.9 	12.5 	11.5 
A,RT_UNE,NON_HRSTU,F,UK	9.2 	8.6 	8.0 	7.3 	: 	6.7 b	6.5 	5.3 b	5.7 	5.3 	5.6 b	5.7 b	6.7 	7.0 b	7.2 b	9.1 	10.0 b	11.7 b	11.7 	11.7 	9.7 b	8.5 	7.5 	6.6 	6.5 	5.8 	: 	: 	: 	: 	: 
A,RT_UNE,NON_HRSTU,M,AT	: 	4.9 	6.6 	6.4 	6.9 b	6.0 	6.2 	5.2 	7.0 	6.8 	8.3 b	7.6 b	7.0 b	6.3 b	5.6 	8.1 	7.3 	6.8 b	7.6 	8.1 	8.6 b	9.0 	9.8 	9.3 	7.6 	7.2 	8.7 	9.5 b	7.6 	8.6 	8.7 
A,RT_UNE,NON_HRSTU,M,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	17.1 b	14.9 	13.0 	12.2 
A,RT_UNE,NON_HRSTU,M,BE	9.9 	9.8 	9.8 	9.6 	10.4 b	10.7 b	7.5 	7.8 b	8.6 	10.1 	9.3 	10.7 b	10.5 	9.4 	9.3 b	11.1 	11.8 	10.6 b	11.4 	12.6 	13.5 b	13.3 	12.0 	10.8 b	9.4 	8.6 	8.5 	10.3 b	9.2 	9.5 	9.9 
A,RT_UNE,NON_HRSTU,M,BG	: 	: 	: 	: 	: 	: 	19.9 	25.6 b	22.9 	17.4 b	15.1 	12.5 b	10.4 b	8.0 	6.8 b	8.6 	13.2 b	15.0 b	16.4 	17.0 	15.3 b	12.3 	10.2 	7.9 	7.2 	5.7 b	6.8 	7.1 b	5.6 	5.8 	6.0 b
A,RT_UNE,NON_HRSTU,M,CH	: 	: 	4.8 	6.0 	4.7 b	4.4 	3.7 	2.8 	4.1 	5.6 	6.1 	6.1 b	5.4 	4.7 	4.7 	6.2 	7.1 b	6.3 b	6.6 	7.1 	7.1 b	7.0 	7.8 	7.3 	7.0 	6.8 	7.8 	8.0 b	6.1 	6.1 	6.6 
A,RT_UNE,NON_HRSTU,M,CY	: 	: 	: 	: 	: 	: 	4.0 	3.3 	3.3 	4.6 	4.5 	5.4 b	4.6 	4.2 	3.8 	6.6 b	7.6 	9.9 b	16.5 	21.4 	22.3 b	20.1 	15.8 	13.7 	9.6 	8.6 	8.9 	8.8 b	7.4 	7.1 	6.3 
A,RT_UNE,NON_HRSTU,M,CZ	: 	: 	: 	: 	5.9 b	9.2 	9.6 	8.9 	7.7 	7.8 b	9.5 	8.8 b	7.8 	5.8 	4.7 	8.1 	8.9 b	8.0 b	8.3 	8.3 	7.0 b	5.8 	4.7 	3.3 	2.5 	2.4 	3.1 	3.3 b	2.6 	3.2 	3.2 
A,RT_UNE,NON_HRSTU,M,DE	9.8 	9.1 	11.1 b	12.6 	: 	11.7 	10.7 	11.0 	12.5 	14.7 	16.3 	16.5 b	15.0 b	12.6 	11.1 	12.2 	11.3 b	9.1 b	8.5 b	8.4 	8.1 b	7.7 	6.8 	6.3 	5.8 	5.4 	6.4 b	6.0 b	5.3 	5.0 	5.5 
A,RT_UNE,NON_HRSTU,M,DK	9.3 	6.8 	7.2 	5.7 	4.9 b	6.0 	5.2 	4.4 	5.4 	6.4 b	6.3 	5.8 b	4.3 	4.3 b	4.7 b	10.2 	12.5 	11.5 b	11.5 	10.4 	9.7 b	8.7 	7.6 b	7.8 b	7.2 	6.9 	7.7 	7.2 b	6.4 	7.4 b	8.8 
A,RT_UNE,NON_HRSTU,M,EA21	: 	: 	: 	: 	: 	: 	: 	: 	10.2 	10.6 	11.1 	10.8 b	9.9 	8.8 	9.3 	12.7 	13.6 	13.8 b	15.7 	16.7 	16.1 b	15.1 	13.8 	12.4 	11.1 	10.2 	10.7 	10.5 b	9.2 	9.0 	8.8 
A,RT_UNE,NON_HRSTU,M,EE	: 	: 	: 	14.4 	13.2 b	16.7 	18.8 b	15.1 	14.1 	15.9 	14.9 	11.9 b	8.0 	7.0 	7.4 	22.1 	24.0 	17.4 b	14.8 	12.1 	10.4 b	8.7 	10.1 	8.5 	7.3 	5.7 	9.8 	10.0 b	8.5 	9.2 	11.1 
A,RT_UNE,NON_HRSTU,M,EL	6.6 	6.8 	6.6 	6.9 	8.1 b	8.5 	8.3 	7.7 b	7.3 	6.8 	7.3 b	7.0 b	6.4 	5.8 	5.6 	8.0 b	11.6 	17.5 b	25.3 	28.8 	27.4 b	25.0 	23.6 	21.2 	18.7 	17.4 	16.4 	13.6 b	11.2 	10.2 	9.5 
A,RT_UNE,NON_HRSTU,M,ES	22.3 b	20.1 	20.1 	18.4 	15.7 b	12.4 	11.0 	8.6 b	9.3 	9.7 	9.8 	8.5 b	7.6 b	7.9 	13.0 	22.7 	25.2 	27.3 b	31.9 	33.2 	31.0 b	27.5 	24.1 	21.3 	18.6 	16.7 	18.4 	17.8 bd	15.8 d	14.9 d	14.2 d
A,RT_UNE,NON_HRSTU,M,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	11.2 	11.4 	11.9 	11.4 b	10.2 	8.9 	8.9 	12.0 	12.9 	13.1 b	14.5 	15.3 	14.6 b	13.6 	12.3 	11.0 	9.8 	8.9 	9.5 	9.5 b	8.4 	8.3 	8.2 
A,RT_UNE,NON_HRSTU,M,FI	: 	20.6 	17.9 	19.5 	17.6 b	15.9 	14.6 b	14.1 	15.4 	15.6 	14.6 	11.6 b	10.7 	9.3 b	8.8 b	12.9 	13.2 	12.5 b	12.3 	13.2 	13.7 b	14.4 	13.1 	13.4 	11.5 	11.1 	13.2 	12.3 b	10.8 	12.3 	14.2 
A,RT_UNE,NON_HRSTU,M,FR	14.3 	12.5 	13.6 	14.0 	13.2 b	13.5 	11.1 	9.1 	9.9 	9.8 b	10.4 	10.2 b	10.3 b	9.6 	9.3 	12.0 	12.1 	12.9 b	14.3 	15.1 b	15.7 b	16.0 	15.7 	14.7 	13.6 	12.9 	12.3 	11.5 bd	11.0 d	11.0 d	11.2 d
A,RT_UNE,NON_HRSTU,M,HR	: 	: 	: 	: 	: 	: 	: 	: 	15.3 	15.0 b	14.5 	14.1 b	12.1 b	10.5 	8.5 	9.5 	13.2 b	16.3 b	19.8 b	22.3 	20.6 b	19.2 	15.7 	12.9 	9.3 	7.7 	9.4 	9.0 b	7.1 	7.6 	6.4 
A,RT_UNE,NON_HRSTU,M,HU	: 	: 	: 	12.2 	11.8 b	9.3 	8.9 	7.8 b	7.5 	7.7 	7.4 	8.7 b	8.9 	8.9 	9.8 	12.9 	14.3 	14.2 b	14.6 	13.3 	9.7 b	8.6 	6.6 	4.9 	4.5 b	4.3 	5.5 	5.2 b	5.1 	5.5 	6.2 
A,RT_UNE,NON_HRSTU,M,IE	17.6 	14.8 	14.9 	13.2 	: 	7.7 	5.6 	4.9 	5.6 	6.0 	6.4 	5.8 b	5.6 	6.6 b	10.2 	20.3 	23.3 	25.5 b	26.0 	21.9 	18.7 b	16.0 	13.1 	10.7 b	8.3 	7.6 	7.9 	9.1 b	6.5 	6.6 	6.1 
A,RT_UNE,NON_HRSTU,M,IS	: 	: 	: 	: 	: 	2.1 	1.9 	2.0 	4.4 	5.1 b	6.3 	3.5 b	3.9 	3.2 	4.4 	11.7 	11.3 	10.2 b	8.7 	8.1 	7.1 b	5.6 	4.4 	3.9 	3.8 	5.5 	7.7 b	8.0 b	5.9 	5.0 	4.7 
A,RT_UNE,NON_HRSTU,M,IT	10.5 	11.0 	11.3 	11.5 	11.4 b	10.7 	10.4 	9.4 	8.9 	8.7 	8.1 b	7.8 b	7.0 	6.4 	7.2 	8.7 	9.7 	9.9 b	12.9 	15.3 	15.7 b	15.2 	14.7 	13.9 	13.2 b	12.3 	11.5 	11.6 b	9.7 	9.4 	8.1 
A,RT_UNE,NON_HRSTU,M,LT	: 	: 	: 	: 	19.1 b	19.2 	23.0 b	23.1 	15.9 b	14.7 	12.0 	10.0 b	7.3 	5.3 	7.8 	21.8 	27.6 	23.7 b	20.1 	18.0 	17.2 b	14.5 	13.0 	12.1 	9.8 	10.0 	13.3 	10.6 b	9.1 	10.6 	11.1 
A,RT_UNE,NON_HRSTU,M,LU	3.6 	2.9 	3.5 	2.4 	: 	2.5 	2.6 	2.0 u	2.3 	3.6 b	4.9 	4.4 b	4.8 	4.6 b	6.6 	6.2 b	5.6 	5.8 b	7.4 	8.7 	10.2 b	9.5 b	9.4 	8.6 	8.1 	9.7 	11.4 	8.8 b	7.4 	7.7 	12.4 
A,RT_UNE,NON_HRSTU,M,LV	: 	: 	: 	: 	18.1 b	16.8 	18.1 	18.0 	18.2 b	14.5 	13.4 	12.2 b	9.0 	7.9 	10.6 	26.6 	28.2 	23.3 b	20.7 	16.5 	15.4 b	14.6 	14.3 	13.1 	11.0 	9.4 	11.7 	11.2 b	11.0 	10.7 	11.1 
A,RT_UNE,NON_HRSTU,M,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	23.1 b	24.9 	25.8 	22.7 b	22.2 	22.1 	18.3 	18.0 	16.6 	20.5 	: 	: 	: 	: 
A,RT_UNE,NON_HRSTU,M,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	39.7 	39.0 	37.3 	35.6 	35.8 	36.2 b	36.2 	32.6 	30.8 b	29.9 	27.3 	25.9 	24.2 	18.5 	19.3 	20.0 b	18.9 	17.8 	17.0 
A,RT_UNE,NON_HRSTU,M,MT	: 	: 	: 	: 	: 	: 	8.0 	8.5 	8.0 	7.7 	8.7 b	8.0 b	7.8 	7.5 	7.5 	8.5 	8.8 	8.3 b	7.9 	8.5 	8.6 b	7.8 	6.4 	5.5 	6.0 	5.2 	6.4 	6.2 b	5.2 	5.1 	4.6 
A,RT_UNE,NON_HRSTU,M,NL	: 	: 	6.9 	5.8 	4.9 b	3.8 	2.9 	2.3 	3.0 	4.6 	6.0 	7.1 b	5.7 b	4.7 	4.3 	5.5 	6.5 	6.9 b	8.4 	11.0 b	11.1 b	10.1 	8.6 	6.8 	5.7 	5.3 b	5.9 	6.3 b	5.2 	5.4 	5.6 
A,RT_UNE,NON_HRSTU,M,NO	: 	: 	6.0 	5.4 	4.2 b	4.0 	4.5 	4.9 	5.1 	6.0 b	6.1 	6.4 b	4.8 b	3.6 	4.0 	5.2 	5.8 	5.3 b	5.1 	5.5 	6.0 b	7.2 	8.2 	7.1 	6.2 	6.1 	7.0 	7.4 b	5.7 	5.9 	6.2 
A,RT_UNE,NON_HRSTU,M,PL	: 	: 	: 	10.9 	10.0 b	13.9 	17.2 b	20.3 b	22.9 	22.6 b	22.1 b	20.0 b	15.7 	11.0 	7.8 	9.4 	11.5 b	11.2 b	11.7 	12.2 	11.0 b	9.5 	8.0 	6.5 	5.1 	3.9 b	4.0 	4.7 b	4.0 	4.0 	4.0 
A,RT_UNE,NON_HRSTU,M,PT	6.8 	7.3 	7.2 	6.7 	4.3 b	4.6 	3.4 	3.3 	4.4 	5.8 	6.4 b	7.6 b	7.5 	7.5 	7.4 	10.2 	11.5 	14.6 b	18.6 	19.5 	17.0 b	15.2 	13.8 	10.5 	8.3 	7.2 	8.0 	7.8 b	7.4 	7.9 	7.8 
A,RT_UNE,NON_HRSTU,M,RO	: 	: 	: 	6.1 	6.6 b	7.9 	8.5 	8.0 	9.8 b	8.3 b	10.3 	8.8 b	9.4 	8.3 	7.7 	8.7 	8.5 b	8.8 b	8.2 	8.5 	8.0 b	8.7 	7.7 	6.5 	5.5 	5.1 	6.3 	7.2 b	7.4 	7.2 	7.0 
A,RT_UNE,NON_HRSTU,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	21.4 	23.8 b	25.0 	23.7 	21.3 b	19.0 	16.5 	14.6 	14.0 	11.5 	9.9 	12.2 b	11.2 	11.2 	10.2 
A,RT_UNE,NON_HRSTU,M,SE	: 	11.6 	12.1 	15.4 	13.6 b	11.6 	8.3 	7.3 b	7.3 	8.2 	9.8 	10.5 b	9.7 b	8.3 	8.6 	12.7 	12.7 	11.5 b	12.2 	12.5 	12.5 b	11.5 	11.4 	10.8 	10.1 b	10.8 	13.5 	14.5 b	12.5 	13.1 	14.3 
A,RT_UNE,NON_HRSTU,M,SI	: 	: 	8.9 	7.8 	8.9 b	9.1 	8.8 	6.9 	7.3 	7.5 	7.4 	7.8 b	6.5 	5.0 	5.0 	7.8 	9.8 	10.7 b	11.1 	12.6 	12.1 b	10.8 	9.6 	7.5 	6.3 	5.6 	6.1 	5.9 b	5.2 	4.9 b	5.1 
A,RT_UNE,NON_HRSTU,M,SK	: 	: 	: 	: 	14.7 b	19.6 b	23.6 	24.5 b	23.0 	21.0 b	21.7 	19.5 b	15.8 	12.6 	10.6 	14.4 	17.8 	17.3 b	16.8 	17.5 	16.2 b	13.0 	10.9 	10.2 	8.1 	7.5 	8.4 	9.2 b	8.4 	8.3 	6.9 
A,RT_UNE,NON_HRSTU,M,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.4 	9.6 	10.5 	13.8 	11.4 	9.0 b	8.3 b	8.6 	9.8 b	10.1 	10.3 	10.1 	10.2 	13.7 	13.7 	11.7 b	9.7 	8.5 	7.9 
A,RT_UNE,NON_HRSTU,M,UK	14.7 	13.0 	12.4 	10.6 	: 	9.1 b	8.3 	7.1 b	7.4 	7.2 	6.6 b	6.9 b	7.8 	7.7 b	8.5 b	11.8 	12.1 b	13.3 b	12.9 	12.3 	10.1 b	8.6 	7.8 	7.0 	6.3 	6.1 	: 	: 	: 	: 	: 
A,RT_UNE,NON_HRSTU,T,AT	: 	5.4 	6.6 	6.5 	7.1 b	6.1 	6.1 	5.3 	6.6 	6.3 	8.4 b	7.9 b	7.4 b	6.8 b	5.9 	7.6 	6.9 	6.6 b	7.3 	7.8 	8.2 b	8.4 	9.2 	8.6 	7.3 	6.8 	8.4 	9.6 b	7.4 	8.1 	8.1 
A,RT_UNE,NON_HRSTU,T,BA	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	20.8 b	18.5 	16.0 	15.6 
A,RT_UNE,NON_HRSTU,T,BE	12.9 	12.9 	13.1 	12.6 	13.2 b	12.5 b	9.6 	8.8 b	9.9 	10.9 	10.7 	12.4 b	12.1 	11.1 	10.4 b	11.7 	12.5 	10.9 b	11.6 	12.4 	13.0 b	12.9 	12.0 	10.9 b	9.3 	8.3 	8.7 	10.4 b	9.3 	9.3 	9.7 
A,RT_UNE,NON_HRSTU,T,BG	: 	: 	: 	: 	: 	: 	20.6 	25.5 b	22.9 	17.3 b	15.1 	12.9 b	11.3 b	8.9 	7.2 b	8.8 	13.2 b	14.5 b	15.7 	16.6 	15.2 b	12.3 	10.2 	8.2 	7.1 	5.6 b	6.8 	7.3 b	5.8 	6.0 	6.2 b
A,RT_UNE,NON_HRSTU,T,CH	: 	: 	5.3 	5.5 	5.0 b	4.6 	4.2 	3.8 	4.3 	6.1 	6.6 	6.8 b	6.3 	5.8 	5.5 	6.5 	7.5 b	6.5 b	6.7 	7.1 	7.3 b	7.2 	7.7 	7.2 	7.3 	6.9 	7.7 	8.1 b	6.4 	6.1 	6.6 
A,RT_UNE,NON_HRSTU,T,CY	: 	: 	: 	: 	: 	: 	6.3 	5.0 	4.1 	4.8 	5.5 	6.3 b	5.1 	4.6 	4.5 	6.4 b	7.2 	9.2 b	14.3 	19.5 	20.2 b	18.7 	16.1 	13.3 	9.9 	8.8 	9.1 	9.0 b	7.7 	7.0 	6.5 
A,RT_UNE,NON_HRSTU,T,CZ	: 	: 	: 	: 	8.0 b	11.5 	12.0 	11.1 	9.8 	10.6 b	11.6 	11.4 b	10.3 	7.8 	6.5 	10.0 	10.8 b	9.5 b	9.9 	10.0 	8.7 b	7.2 	5.6 	4.1 	3.2 	2.9 	3.7 	4.2 b	3.4 	3.8 	3.9 
A,RT_UNE,NON_HRSTU,T,DE	11.8 	11.0 	12.2 b	13.7 	: 	12.4 	11.3 	11.2 	12.4 	14.4 	15.9 	16.5 b	15.3 b	13.0 	11.5 	12.0 	10.9 b	8.9 b	8.5 b	8.2 	7.9 b	7.4 	6.6 	6.0 	5.4 	5.0 	6.0 b	5.7 b	5.0 	4.8 	5.2 
A,RT_UNE,NON_HRSTU,T,DK	10.3 	8.7 	9.0 	7.0 	6.6 b	6.8 	6.0 	5.3 	5.5 	6.8 b	6.9 	6.5 b	5.1 	5.0 b	5.3 b	9.5 	11.4 	11.2 b	11.5 	11.0 	10.1 b	8.9 	8.3 b	8.2 b	7.2 	7.1 	8.1 	7.5 b	6.6 	7.8 b	9.3 
A,RT_UNE,NON_HRSTU,T,EA21	: 	: 	: 	: 	: 	: 	: 	: 	11.8 	12.1 	12.5 	12.2 b	11.3 	10.2 	10.3 	13.1 	14.0 	14.2 b	16.0 	16.8 	16.5 b	15.4 	14.4 	13.1 	11.8 	10.9 	11.3 	11.3 b	10.0 	9.7 	9.4 
A,RT_UNE,NON_HRSTU,T,EE	: 	: 	: 	14.2 	13.1 b	15.9 	19.0 b	17.0 	13.8 	15.8 	13.9 	11.6 b	8.3 	6.6 	7.8 	20.1 	23.7 	17.2 b	14.6 	12.2 	10.5 b	9.1 	10.0 	8.7 	7.8 	6.8 	10.3 	10.1 b	8.6 	10.3 	11.7 
A,RT_UNE,NON_HRSTU,T,EL	9.9 	10.0 	10.8 	10.7 	12.3 b	13.3 	12.7 	11.7 b	11.3 	10.7 	11.8 b	11.3 b	10.2 	9.5 	8.8 	11.1 b	14.6 	20.6 b	28.6 	32.2 	31.0 b	28.7 	27.7 	25.5 	23.2 	21.3 	19.9 	18.1 b	15.7 	13.8 	12.7 
A,RT_UNE,NON_HRSTU,T,ES	26.8 b	25.2 	25.0 	23.4 	21.1 b	17.5 	15.9 	12.1 b	13.0 	13.4 	13.2 	11.1 b	10.4 b	10.5 	14.7 	23.4 	26.0 	27.8 b	32.1 	33.7 	32.1 b	29.2 	26.3 	23.5 	20.9 	19.3 	21.0 	20.6 bd	18.4 d	17.2 d	16.1 d
A,RT_UNE,NON_HRSTU,T,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	12.6 	12.7 	13.1 	12.8 b	11.6 	10.1 	9.9 	12.5 	13.5 	13.5 b	15.0 	15.7 	15.1 b	14.1 	12.9 	11.7 	10.4 	9.7 	10.1 	10.3 b	9.2 	9.0 	8.8 
A,RT_UNE,NON_HRSTU,T,FI	: 	19.7 	17.9 	20.8 	19.2 b	17.7 	16.7 b	15.9 	15.5 	15.5 	15.2 	12.3 b	11.6 	10.1 b	9.5 b	12.6 	12.7 	12.0 b	12.1 	12.8 	13.4 b	14.2 	13.2 	13.5 	12.0 	10.9 	13.3 	12.2 b	10.9 	11.9 	13.6 
A,RT_UNE,NON_HRSTU,T,FR	16.2 	14.9 	15.7 	16.0 	15.4 b	15.5 	13.4 	11.4 	11.4 	10.8 b	11.6 	11.2 b	11.3 b	10.3 	9.8 	12.2 	12.5 	13.1 b	14.1 	14.8 b	15.3 b	15.5 	15.5 	14.6 	13.9 	13.1 	12.4 	11.9 bd	11.3 d	11.4 d	11.5 d
A,RT_UNE,NON_HRSTU,T,HR	: 	: 	: 	: 	: 	: 	: 	: 	17.9 	16.9 b	16.5 	15.6 b	13.8 b	11.9 	10.5 	11.2 	14.0 b	16.4 b	19.9 b	22.0 	22.4 b	21.0 	17.0 	14.3 	10.7 	8.3 	9.6 	9.9 b	8.6 	8.4 	6.8 
A,RT_UNE,NON_HRSTU,T,HU	: 	: 	: 	11.8 	11.7 b	9.3 	8.8 	7.6 b	7.4 	7.8 	7.8 	9.6 b	10.1 	9.9 	10.7 	13.6 	14.9 	15.1 b	15.1 	14.2 	10.7 b	9.6 	7.2 	5.8 	5.1 b	4.8 	6.1 	5.9 b	5.3 	6.1 	6.8 
A,RT_UNE,NON_HRSTU,T,IE	18.1 	15.2 	15.3 	13.4 	: 	7.7 	5.7 	4.9 	5.5 	5.7 	6.0 	5.7 b	5.7 	6.7 b	9.2 	17.2 	20.4 	22.8 b	23.6 	20.9 	18.1 b	15.3 	12.7 	10.5 b	8.7 	7.6 	8.3 	9.7 b	6.9 	6.7 	6.5 
A,RT_UNE,NON_HRSTU,T,IS	: 	: 	: 	: 	: 	2.9 	2.8 	2.6 	4.2 	5.6 b	5.4 	3.4 b	4.5 	3.4 	4.3 	10.8 	11.5 	10.4 b	9.3 	7.9 	7.0 b	5.9 	4.7 	4.3 	4.1 	5.3 	8.2 b	9.2 b	5.9 	5.6 	5.3 
